"LKPR","Václav Havel Airport Prague","CZ",1247
"LCLK","Larnaca International Airport","CY",8
"LCPH","Paphos International Airport","CY",41
"GVAC","Amílcar Cabral International Airport","CV",177
"MUHA","José Martí International Airport","CU",210
"MUVR","Juan Gualberto Gomez International Airport","CU",210
"MRLB","Daniel Oduber Quiros International Airport","CR",270
"SKBO","El Dorado International Airport","CO",8361
"ZWWW","Ürümqi Diwopu International Airport","CN",2125
"ZBHH","Baita International Airport","CN",3556
"ZBAA","Beijing Capital International Airport","CN",116
"ZBAD","Beijing Daxing International Airport","CN",98
"ZBNY","Beijing Nanyuan Airport","CN",
"ZGHA","Changsha Huanghua International Airport","CN",217
"ZUUU","Chengdu Shuangliu International Airport","CN",1625
"ZUCK","Chongqing Jiangbei International Airport","CN",1365
"ZSFZ","Fuzhou Changle International Airport","CN",46
"ZGGG","Guangzhou Baiyun International Airport","CN",50
"ZGKL","Guilin Liangjiang International Airport","CN",570
"CN-0083","Guodu air base","CN",
"ZJHK","Haikou Meilan International Airport","CN",75
"ZSHC","Hangzhou Xiaoshan International Airport","CN",23
"ZPPP","Kunming Changshui International Airport","CN",6903
"ZUGY","Longdongbao Airport","CN",3736
"ZSNJ","Nanjing Lukou Airport","CN",49
"ZGNN","Nanning Wuxu Airport","CN",421
"ZSNB","Ningbo Lishe International Airport","CN",13
"ZJSY","Sanya Phoenix International Airport","CN",92
"ZSSS","Shanghai Hongqiao International Airport","CN",10
"ZSPD","Shanghai Pudong International Airport","CN",13
"ZGSZ","Shenzhen Bao'an International Airport","CN",13
"ZYHB","Taiping Airport","CN",457
"ZBYN","Taiyuan Wusu Airport","CN",2575
"ZYTX","Taoxian Airport","CN",198
"ZBTJ","Tianjin Binhai International Airport","CN",10
"ZSWZ","Wenzhou Longwan International Airport","CN",
"ZHHH","Wuhan Tianhe International Airport","CN",113
"ZLXY","Xi'an Xianyang International Airport","CN",1572
"ZSAM","Xiamen Gaoqi International Airport","CN",59
"ZSJN","Yaoqiang Airport","CN",76
"ZHCC","Zhengzhou Xinzheng International Airport","CN",495
"ZYTL","Zhoushuizi Airport","CN",107
"SCEL","Comodoro Arturo Merino Benítez International Airport","CL",1555
"NCRG","Rarotonga International Airport","CK",19
"LSGG","Geneva Cointrin International Airport","CH",1411
"LSZH","Zürich Airport","CH",1416
"FZAA","Ndjili International Airport","CD",1027
"CYYC","Calgary International Airport","CA",3557
"CA-0671","Cyll","CA",
"CYEG","Edmonton International Airport","CA",2373
"CYHZ","Halifax / Stanfield International Airport","CA",477
"CYYZ","Lester B. Pearson International Airport","CA",569
"CYUL","Montreal / Pierre Elliott Trudeau International Airport","CA",118
"CYOW","Ottawa Macdonald-Cartier International Airport","CA",374
"CYYT","St. John's International Airport","CA",461
"CYVR","Vancouver International Airport","CA",14
"CYYJ","Victoria International Airport","CA",63
"CYWG","Winnipeg / James Armstrong Richardson International Airport","CA",783
"MZBZ","Philip S. W. Goldson International Airport","BZ",15
"UMMS","Minsk National Airport","BY",670
"FBSK","Sir Seretse Khama International Airport","BW",3299
"MYNN","Lynden Pindling International Airport","BS",16
"SBCT","Afonso Pena Airport","BR",2988
"SBSP","Congonhas Airport","BR",2631
"SBSV","Deputado Luiz Eduardo Magalhães International Airport","BR",64
"SBSG","Governador Aluízio Alves International Airport","BR",272
"SBGR","Guarulhos - Governador André Franco Montoro International Airport","BR",2459
"SBFL","Hercílio Luz International Airport","BR",16
"SBBR","Presidente Juscelino Kubistschek International Airport","BR",3497
"SBGL","Rio Galeão – Tom Jobim International Airport","BR",28
"SBCF","Tancredo Neves International Airport","BR",2715
"SBBE","Val de Cans/Júlio Cezar Ribeiro International Airport","BR",54
"SLVR","Viru Viru International Airport","BO",1224
"WBSB","Brunei International Airport","BN",73
"OBBI","Bahrain International Airport","BH",6
"LBBG","Burgas Airport","BG",135
