”code”,”name”,”elevation_ft”,”iso_country”
”WMKK”,”Kuala Lumpur International Airport”,69,”MY”
”MMUN”,”Canc√∫n International Airport”,22,”MX”
”MMGL”,”Don Miguel Hidalgo Y Costilla International Airport”,5016,”MX”
”MMTJ”,”General Abelardo L. Rodr√≠guez International Airport”,489,”MX”
”MMHO”,”General Ignacio P. Garcia International Airport”,627,”MX”
”MMAA”,”General Juan N Alvarez International Airport”,16,”MX”
”MMMY”,”General Mariano Escobedo International Airport”,1278,”MX”
”MMMX”,”Licenciado Benito Juarez International Airport”,7316,”MX”
”MMPR”,”Licenciado Gustavo D√≠az Ordaz International Airport”,23,”MX”
”MMSD”,”Los Cabos International Airport”,374,”MX”
”VRMM”,”Mal√© International Airport”,6,”MV”
”FIMP”,”Sir Seewoosagur Ramgoolam International Airport”,186,”MU”
”LMML”,”Malta International Airport”,300,”MT”
”GQNO”,”Nouakchott‚ÄìOumtounsy International Airport”,9,”MR”
”VMMC”,”Macau International Airport”,20,”MO”
”ZMUB”,”Chinggis Khaan International Airport”,4364,”MN”
”VYMD”,”Mandalay International Airport”,300,”MM”
”VYYY”,”Yangon International Airport”,109,”MM”
”GABS”,”Modibo Keita International Airport”,1247,”ML”
”LWSK”,”Skopje Alexander the Great Airport”,781,”MK”
”FMMI”,”Ivato Airport”,4198,”MG”
”LYPG”,”Podgorica Airport”,141,”ME”
”GMMN”,”Mohammed V International Airport”,656,”MA”
”HLLT”,”Tripoli International Airport”,263,”LY”
”EVRA”,”Riga International Airport”,36,”LV”
”ELLX”,”Luxembourg-Findel International Airport”,1234,”LU”
”EYVI”,”Vilnius International Airport”,648,”LT”
”GLRB”,”Roberts International Airport”,31,”LR”
”VCBI”,”Bandaranaike International Colombo Airport”,30,”LK”
”VCRI”,”Mattala Rajapaksa International Airport”,157,”LK”
”OLBA”,”Beirut Rafic Hariri International Airport”,87,”LB”
”UAAA”,”Almaty Airport”,2234,”KZ”
”UACC”,”Astana International Airport”,1165,”KZ”
”UAKK”,”Sary-Arka Airport”,1765,”KZ”
”MWCR”,”Owen Roberts International Airport”,8,”KY”
”OKBK”,”Kuwait International Airport”,206,”KW”
”RKTU”,”Cheongju International Airport/Cheongju Air Base (K-59/G-513)”,191,”KR”
”RKPK”,”Gimhae International Airport”,6,”KR”
”RKSS”,”Gimpo International Airport”,59,”KR”
”RKSI”,”Incheon International Airport”,23,”KR”
”RKPC”,”Jeju International Airport”,118,”KR”
”RKJK”,”Kunsan Air Base”,29,”KR”
”RKJB”,”Muan International Airport”,35,”KR”
”RKSO”,”Osan Air Base”,38,”KR”
”VDPP”,”Phnom Penh International Airport”,40,”KH”
”VDSR”,”Siem Reap International Airport”,60,”KH”
”UAFM”,”Manas International Airport”,2058,”KG”
”HKJK”,”Jomo Kenyatta International Airport”,5330,”KE”
”HKMO”,”Mombasa Moi International Airport”,200,”KE”
”RJGG”,”Chubu Centrair International Airport”,15,”JP”
”RJFF”,”Fukuoka Airport”,32,”JP”
”RODN”,”Kadena Air Base”,143,”JP”
”RJFK”,”Kagoshima Airport”,906,”JP”
”RJBB”,”Kansai International Airport”,26,”JP”
”rjns”,”Mt. Fuji Shizuoka Airport”,433,”JP”
”ROAH”,”Naha Airport”,12,”JP”
”RJAA”,”Narita International Airport”,141,”JP”
”RJCC”,”New Chitose Airport”,82,”JP”
”RJOO”,”Osaka International Airport”,50,”JP”
”RJTT”,”Tokyo Haneda International Airport”,35,”JP”
”RJTY”,”Yokota Air Base”,463,”JP”
”OJAI”,”Queen Alia International Airport”,2395,”JO”
”MKJP”,”Norman Manley International Airport”,10,”JM”
”LIBD”,”Bari Karol Wojty≈Ça Airport”,177,”IT”
”LIPE”,”Bologna Guglielmo Marconi Airport”,123,”IT”
”LIEE”,”Cagliari Elmas Airport”,13,”IT”
”LICC”,”Catania-Fontanarossa Airport”,39,”IT”
”LIRA”,”Ciampino‚ÄìG. B. Pastine International Airport”,427,”IT”
”LICJ”,”Falcone‚ÄìBorsellino Airport”,65,”IT”
”LIMJ”,”Genoa Cristoforo Colombo Airport”,13,”IT”
”LIME”,”Il Caravaggio International Airport”,782,”IT”
”LIRF”,”Leonardo da Vinci‚ÄìFiumicino Airport”,13,”IT”
”LIMC”,”Malpensa International Airport”,768,”IT”
”LIML”,”Milano Linate Airport”,353,”IT”
”LIRN”,”Naples International Airport”,294,”IT”
”LIRP”,”Pisa International Airport”,6,”IT”
”LIPH”,”Treviso-Sant'Angelo Airport”,59,”IT”
”LIMF”,”Turin Airport”,989,”IT”
”LIPZ”,”Venice Marco Polo Airport”,7,”IT”
”LIPX”,”Verona Villafranca Airport”,239,”IT”
”BIKF”,”Keflavik International Airport”,171,”IS”
”OIIE”,”Imam Khomeini International Airport”,3305,”IR”
”OIMM”,”Mashhad International Airport”,3263,”IR”
”OIII”,”Mehrabad International Airport”,3962,”IR”
”OISS”,”Shiraz Shahid Dastghaib International Airport”,4920,”IR”
”OITT”,”Tabriz International Airport”,4459,”IR”
”ORBI”,”Baghdad International Airport”,114,”IQ”
”ORMM”,”Basrah International Airport”,11,”IQ”
”VOCL”,”Calicut International Airport”,342,”IN”
”VOMM”,”Chennai International Airport”,52,”IN”
”VABB”,”Chhatrapati Shivaji International Airport”,39,”IN”
”VOCI”,”Cochin International Airport”,30,”IN”
”VAGO”,”Dabolim Airport”,150,”IN”
”VIDP”,”Indira Gandhi International Airport”,777,”IN”
”VOBL”,”Kempegowda International Airport”,3000,”IN”
”VECC”,”Netaji Subhash Chandra Bose International Airport”,16,”IN”
”VOHS”,”Rajiv Gandhi International Airport”,2024,”IN”
”VIAR”,”Sri Guru Ram Dass Jee International Airport”,756,”IN”
”VOTV”,”Trivandrum International Airport”,15,”IN”
”LLBG”,”Ben Gurion International Airport”,135,”IL”
”LLOV”,”Ovda International Airport”,1492,”IL”
”EICK”,”Cork Airport”,502,”IE”
”EIDW”,”Dublin Airport”,242,”IE”
”EINN”,”Shannon Airport”,46,”IE”
”WAXX”,”Dominique Edward Osok Airport”,10,”ID”
”WAAA”,”Hasanuddin International Airport”,47,”ID”
”WARR”,”Juanda International Airport”,9,”ID”
”WIMM”,”Kualanamu International Airport”,23,”ID”
”WADD”,”Ngurah Rai (Bali) International Airport”,14,”ID”
”WAJJ”,”Sentani International Airport”,289,”ID”
”WIII”,”Soekarno-Hatta International Airport”,34,”ID”
”ID-0017”,”Sungai Siring International Airport”,82,”ID”
”LHBP”,”Budapest Liszt Ferenc International Airport”,495,”HU”
”LDZA”,”Zagreb Airport”,353,”HR”
”VHHH”,”Hong Kong International Airport”,28,”HK”
”PGUM”,”Antonio B. Won Pat International Airport”,298,”GU”
”MGGT”,”La Aurora Airport”,4952,”GT”
”LGAV”,”Eleftherios Venizelos International Airport”,308,”GR”
”LGIR”,”Heraklion International Nikos Kazantzakis Airport”,115,”GR”
”LGTS”,”Thessaloniki Macedonia International Airport”,22,”GR”
”TFFR”,”Pointe-√†-Pitre Le Raizet”,36,”GP”
”DGAA”,”Kotoka International Airport”,205,”GH”
”UGTB”,”Tbilisi International Airport”,1624,”GE”
”EGPD”,”Aberdeen Dyce Airport”,215,”GB”
”EGAA”,”Belfast International Airport”,268,”GB”
”EGBB”,”Birmingham International Airport”,327,”GB”
”EGHH”,”Bournemouth Airport”,38,”GB”
”EGGD”,”Bristol Airport”,622,”GB”
”EGFF”,”Cardiff International Airport”,220,”GB”
”EGNX”,”East Midlands Airport”,306,”GB”
”EGPH”,”Edinburgh Airport”,135,”GB”
”EGTE”,”Exeter International Airport”,102,”GB”
”EGAC”,”George Best Belfast City Airport”,15,”GB”
”EGPF”,”Glasgow International Airport”,26,”GB”
”EGNM”,”Leeds Bradford Airport”,681,”GB”
”EGGP”,”Liverpool John Lennon Airport”,80,”GB”
”EGKK”,”London Gatwick Airport”,202,”GB”
”EGLL”,”London Heathrow Airport”,83,”GB”
”EGGW”,”London Luton Airport”,526,”GB”
”EGSS”,”London Stansted Airport”,348,”GB”
”EGCC”,”Manchester Airport”,257,”GB”
”EGNT”,”Newcastle Airport”,266,”GB”
”EGSH”,”Norwich International Airport”,117,”GB”
”LCRA”,”RAF Akrotiri”,76,”GB”
”EGVN”,”RAF Brize Norton”,288,”GB”
”EGVA”,”RAF Fairford”,286,”GB”
”EGUL”,”RAF Lakenheath”,32,”GB”
”EGUN”,”RAF Mildenhall”,33,”GB”
”EGCN”,”Robin Hood Doncaster Sheffield Airport”,55,”GB”
”EGHI”,”Southampton Airport”,44,”GB”
”LFOA”,”Avord (BA 702) Air Base”,580,”FR”
”LFBD”,”Bordeaux-M√©rignac Airport”,162,”FR”
”LFPG”,”Charles de Gaulle International Airport”,392,”FR”
”LFSB”,”EuroAirport Basel-Mulhouse-Freiburg Airport”,885,”FR”
”LFLL”,”Lyon Saint-Exup√©ry Airport”,821,”FR”
”LFML”,”Marseille Provence Airport”,74,”FR”
”LFMN”,”Nice-C√¥te d'Azur Airport”,12,”FR”
”LFPO”,”Paris-Orly Airport”,291,”FR”
”LFBO”,”Toulouse-Blagnac Airport”,499,”FR”
”EFHK”,”Helsinki Vantaa Airport”,179,”FI”
”HAAB”,”Addis Ababa Bole International Airport”,7630,”ET”
”LEMD”,”Adolfo Su√°rez Madrid‚ÄìBarajas Airport”,1998,”ES”
”LEAL”,”Alicante International Airport”,142,”ES”
”LEBL”,”Barcelona International Airport”,12,”ES”
”GCLP”,”Gran Canaria Airport”,78,”ES”
”GCLA”,”La Palma Airport”,107,”ES”
”LEMG”,”M√°laga Airport”,53,”ES”
”LEPA”,”Palma De Mallorca Airport”,27,”ES”
”LEST”,”Santiago de Compostela Airport”,1213,”ES”
”GCXO”,”Tenerife Norte Airport”,2076,”ES”
”GCTS”,”Tenerife South Airport”,209,”ES”
”HECA”,”Cairo International Airport”,382,”EG”
”HEGN”,”Hurghada International Airport”,52,”EG”
”HELX”,”Luxor International Airport”,294,”EG”
”EETN”,”Lennart Meri Tallinn Airport”,131,”EE”
